scenario,strategy,weight_method,seed,num_students,overload_ratio,violation_level,rejected_hard,waitlist,success_rate_pct,urgent_success_pct,normal_success_pct,fairness_index,capacity_util_pct,filter_ms,rank_ms,allocate_ms,total_ms
KB4_QuaTaiNang,FIFO,-,55,10000,4.000000,high,0,7660,23.400000,22.760943,23.511450,0.999737,100.000000,0.000000,6.293000,0.263000,6.556000
KB4_QuaTaiNang,Rule-based,-,55,10000,4.000000,high,2504,5156,23.400000,29.158249,22.395772,0.983085,100.000000,1.081000,4.250000,0.193000,5.524000
KB4_QuaTaiNang,TOPSIS,EWM,55,10000,4.000000,high,2504,5156,23.400000,74.208754,14.539049,0.688679,100.000000,0.682000,4.702000,0.281000,5.665000
KB4_QuaTaiNang,Hybrid,EWM,55,10000,4.000000,high,2504,12652,23.400000,74.208754,14.539049,0.688679,100.000000,0.759000,4.571000,45.241000,50.571000
KB4_QuaTaiNang,TOPSIS,AHP,55,10000,4.000000,high,2504,5156,23.400000,74.208754,14.539049,0.688679,100.000000,0.748000,4.152000,0.220000,5.120000
KB4_QuaTaiNang,Hybrid,AHP,55,10000,4.000000,high,2504,12652,23.400000,74.208754,14.539049,0.688679,100.000000,0.510000,4.267000,43.451000,48.228000
KB4_QuaTaiNang,FIFO,-,56,10000,4.000000,high,0,7660,23.400000,23.071809,23.458098,0.999931,100.000000,0.000000,6.168000,0.258000,6.426000
KB4_QuaTaiNang,Rule-based,-,56,10000,4.000000,high,2508,5152,23.400000,29.521277,22.316384,0.981048,100.000000,0.537000,4.145000,0.197000,4.879000
KB4_QuaTaiNang,TOPSIS,EWM,56,10000,4.000000,high,2508,5152,23.400000,75.664894,14.147834,0.680664,100.000000,0.592000,6.398000,0.308000,7.298000
KB4_QuaTaiNang,Hybrid,EWM,56,10000,4.000000,high,2508,12644,23.400000,75.797872,14.124294,0.680088,100.000000,0.637000,4.553000,45.314000,50.504000
KB4_QuaTaiNang,TOPSIS,AHP,56,10000,4.000000,high,2508,5152,23.400000,75.664894,14.147834,0.680664,100.000000,0.558000,3.535000,0.197000,4.290000
KB4_QuaTaiNang,Hybrid,AHP,56,10000,4.000000,high,2508,12644,23.400000,75.797872,14.124294,0.680088,100.000000,0.676000,4.262000,44.669000,49.607000
KB4_QuaTaiNang,FIFO,-,57,10000,4.000000,high,0,7660,23.400000,23.746518,23.341896,0.999926,100.000000,0.000000,6.023000,0.311000,6.334000
KB4_QuaTaiNang,Rule-based,-,57,10000,4.000000,high,2512,5148,23.400000,31.824513,21.987389,0.967663,100.000000,1.111000,4.270000,0.184000,5.565000
KB4_QuaTaiNang,TOPSIS,EWM,57,10000,4.000000,high,2512,5148,23.400000,77.089136,14.397478,0.680469,100.000000,0.646000,4.001000,0.719000,5.366000
KB4_QuaTaiNang,Hybrid,EWM,57,10000,4.000000,high,2512,12636,23.400000,77.228412,14.374124,0.679893,100.000000,0.665000,5.017000,47.763000,53.445000
KB4_QuaTaiNang,TOPSIS,AHP,57,10000,4.000000,high,2512,5148,23.400000,77.089136,14.397478,0.680469,100.000000,0.712000,4.750000,0.427000,5.889000
KB4_QuaTaiNang,Hybrid,AHP,57,10000,4.000000,high,2512,12636,23.400000,77.228412,14.374124,0.679893,100.000000,1.754000,4.910000,47.361000,54.025000
KB4_QuaTaiNang,FIFO,-,58,10000,4.000000,high,0,7660,23.400000,23.298429,23.418319,0.999993,100.000000,0.000000,8.115000,0.256000,8.371000
KB4_QuaTaiNang,Rule-based,-,58,10000,4.000000,high,2528,5132,23.400000,29.581152,22.285175,0.980596,100.000000,1.271000,5.146000,0.249000,6.666000
KB4_QuaTaiNang,TOPSIS,EWM,58,10000,4.000000,high,2528,5132,23.400000,75.065445,14.081681,0.681215,100.000000,0.787000,8.074000,0.511000,9.372000
